,name,ssn,address,latlng,gender,email,city,company,job,ip_address,date_of_birth,credit_card_full,salary
0,이경자,510509-1814474,서울특별시 종로구 역삼길 (민재박읍),"(Decimal('84.5211345'), Decimal('-36.705372'))",F,sugjabag@hanmail.net,포천시,최박이,악기제조 및 조율사,212.148.157.220,1980-04-13,"JCB 15 digit
미정 김
213130630970430 07/22
CVC: 509
",1.093787411443182
1,이은경,910719-1056112,제주특별자치도 청양군 테헤란로 (은정김면),"(Decimal('75.8031125'), Decimal('-117.448608'))",M,gimjihye@gmail.com,안산시 단원구,김오,떡제조원,65.116.202.239,1982-12-21,"Diners Club / Carte Blanche
순자 윤
38936139235981 10/24
CVC: 890
",9.577860156823082
2,김성진,750318-2013376,서울특별시 동작구 서초대가,"(Decimal('-44.192739'), Decimal('-75.568878'))",F,yeonghwan60@hanmail.net,충주시,이양이,국가/지방 및 공공행정 사무원,56.161.223.106,1951-05-06,"VISA 16 digit
정훈 고
4839528337826258 07/26
CVC: 156
",22.650203637034465
3,박승민,910028-1278202,제주특별자치도 광명시 가락0가,"(Decimal('47.9361025'), Decimal('143.447301'))",M,kbag@live.com,고양시 일산서구,(주) 김김권,기타 음식서비스 종사원,12.200.204.120,1955-01-25,"VISA 13 digit
서준 안
4338761577485 01/23
CVC: 396
",12.262038355017188
4,박상철,390906-1877754,강원도 안양시 동안구 석촌호수길,"(Decimal('-64.296171'), Decimal('55.673804'))",F,rgim@yu.org,양양군,이김,택시 운전원,14.53.52.195,1951-10-24,"VISA 13 digit
지혜 구
4711362718601 05/25
CVC: 195
",90.52097470277471
5,류지우,530709-2973749,광주광역시 성북구 강남대212가,"(Decimal('-87.750487'), Decimal('-161.284418'))",F,ii@nate.com,보은군,(주) 홍이하,보일러 설치 및 정비원,155.199.150.132,1954-05-06,"American Express
현주 황
377199266571244 05/24
CID: 8217
",24.39565903200008
6,문현숙,050626-1089690,대전광역시 서구 백제고분거리,"(Decimal('-6.111722'), Decimal('-150.363102'))",F,li@hanmail.net,하남시,주식회사 박박이,안경사,99.133.208.186,1977-12-04,"VISA 19 digit
춘자 한
4873067418237723275 02/27
CVC: 199
",9.118931577413662
7,최정숙,970718-1829726,광주광역시 종로구 선릉9가,"(Decimal('-22.089979'), Decimal('-165.943412'))",F,ysong@janggim.com,구리시,유구,전문 의사,52.172.246.188,1956-01-07,"American Express
은서 곽
373567641725855 10/23
CID: 4751
",12.948140109266076
8,이지우,180025-2247415,울산광역시 중구 강남대5길,"(Decimal('-40.061321'), Decimal('-88.869723'))",F,jihugim@yuhanhoesa.kr,고양시 덕양구,박김김,귀금속 및 보석 세공원,102.41.201.133,1983-10-14,"JCB 16 digit
예진 곽
3579244748603338 03/30
CVC: 396
",4.719372354816012
9,안상훈,740900-1475456,전라남도 괴산군 학동293길,"(Decimal('-68.318463'), Decimal('28.457371'))",M,jeonghoheo@daum.net,수원시 장안구,진김,전문 의사,128.209.181.118,1981-04-12,"Maestro
도현 구
502043918155 11/24
CVV: 705
",29.864364529992034
